predicted_uplift,treatment,outcome,true_ite,population_pct,pct_benefit_captured
0.8579563846081134,0,0,0.16043245945695414,5.9623181492964464e-05,0.0002330858978401998
0.8558874926898521,1,0,0.16309122042252902,0.00011924636298592893,0.00047003460305056134
0.8433751386654307,0,0,0.1609030230460101,0.0001788695444788934,0.000703804163891486
0.708383256461732,1,0,0.1528054660221742,0.00023849272597185786,0.0009258091082975463
0.7007526270992909,1,0,0.14558442698181245,0.0002981159074648223,0.0011373228941577672
0.607536474993344,0,0,0.025825060353616924,0.0003577390889577868,0.001174843090505036
0.5656486077468992,1,1,0.08863275601187705,0.00041736227045075126,0.0013036140735280992
0.55223209072561,1,1,0.04084460836801576,0.0004769854519437157,0.0013629555699161459
0.5419224335916497,0,0,0.08526982794722705,0.0005366086334366802,0.001486840689380337
0.5220102082336269,0,0,0.10209724968380572,0.0005962318149296446,0.0016351736962426425
0.5200288665362589,0,0,0.1558334488126148,0.0006558549964226091,0.0018615778756273565
0.5152321441847499,1,0,0.135447187756418,0.0007154781779155736,0.0020583636724355496
0.5126247187337982,1,0,0.03847194916130211,0.000775101359408538,0.002114258027245529
0.5051068623894761,1,0,0.022548382057518766,0.0008347245409015025,0.0021470176688698646
0.4520397867786261,1,0,0.06295720874630074,0.0008943477223944669,0.002238485677125898
0.4330895154167921,0,0,0.15554772854499396,0.0009539709038874314,0.0024644747449718693
0.4263525143649396,0,0,0.15106190038465317,0.001013594085380396,0.0026839465326623834
0.41666872850992176,1,0,0.016877834351774416,0.0010732172668733604,0.002708467662530975
0.409076884750858,1,0,0.09070050247616074,0.0011328404483663247,0.0028402427916150337
0.39400889385659793,1,1,0.15294667081729088,0.0011924636298592892,0.003062452886815145
0.38440256674105633,1,0,0.011570938700898394,0.0012520868113522537,0.0030792638404406264
0.38175963310495487,1,1,0.14577369055908102,0.0013117099928452182,0.003291052599775576
0.3580540715189346,0,0,0.10501410735083434,0.0013713331743381827,0.003443623392373341
0.3468853617562357,0,0,0.14502273201935634,0.0014309563558311473,0.003654321114108636
0.34321106847560007,1,0,0.09340983387545308,0.0014905795373241115,0.0037900325223215463
0.33376144788389495,1,0,0.02456006522199381,0.001550202718817076,0.003825714857882937
0.33185982174125733,0,0,0.042217917572171235,0.0016098259003100406,0.0038870515802367656
